 season 1.05914 -0.00213 0.621 1.24255 -0.00525
 season 1.38341 0.00508 0.808 1.38691 0.00405
 season 1.06542 -0.00660 0.593 1.12706 -0.00787
 season 1.27173 0.00730 0.789 1.31725 0.00589
 season 0.73196 0.00569 0.471 0.75910 0.00527
 season 0.69672 0.01390 0.443 0.69865 0.01407
 season 1.33143 -0.00412 0.828 1.34821 -0.00474
 season 1.26715 -0.00417 0.636 1.32984 -0.00536
 season 0.88286 0.00713 0.537 0.92471 0.00659
 season 1.15786 -0.00112 0.658 1.17278 -0.00061
 season 1.02776 0.00124 0.667 1.06612 0.00043
 season 1.08936 -0.00665 0.655 1.09377 -0.00696
 season 1.36753 -0.00545 0.788 1.36749 -0.00545
 season 1.06835 -0.00355 0.690 1.09948 -0.00343
 season 1.17790 0.01324 0.718 1.24940 0.01215
 season 0.84194 0.00018 0.497 0.84557 0.00011
 season 0.65105 -0.00912 0.372 0.66285 -0.00929
 season 1.09379 0.00726 0.680 1.09157 0.00748
 season 0.93742 -0.00126 0.618 0.93511 -0.00100
 season 0.84558 0.01162 0.584 0.88083 0.01099
 season 1.00091 0.01122 0.609 1.11288 0.00974
 season 0.99925 -0.00218 0.626 1.02255 -0.00302
 season 1.18420 0.00497 0.760 1.23076 0.00583
 season 1.06814 0.00471 0.694 1.10334 0.00595
 season 1.18717 0.00531 0.679 1.22748 0.00643
 season 0.96535 0.00341 0.638 0.99044 0.00264
 season 0.79124 0.00135 0.490 0.80660 0.00069
 season 1.02464 0.00015 0.613 1.05029 0.00006
 season 1.09880 0.00456 0.672 1.20959 0.00283
 season 0.91835 0.00128 0.526 0.94315 0.00090
 season 0.75472 0.00055 0.505 0.79932 -0.00052
 season 0.72364 0.00773 0.419 0.70842 0.00816
 season 0.76031 -0.00006 0.448 0.78795 -0.00048
 season 0.84432 0.00128 0.484 0.85908 0.00108
 season 1.02906 0.01707 0.649 1.09322 0.01702
 season 1.11801 0.01364 0.646 1.14626 0.01430
 season 0.91375 -0.00084 0.624 0.93716 -0.00159
 season 1.07244 -0.00186 0.654 1.18098 -0.00475
 season 0.39072 -0.00008 0.237 0.39171 -0.00006
 season 1.11414 -0.00458 0.674 1.11256 -0.00490
 season 0.91791 0.00850 0.564 0.98653 0.00744
 season 0.99100 -0.00801 0.604 1.00753 -0.00847
 season 0.92503 0.01321 0.551 0.97451 0.01239
 season 1.00335 0.00001 0.592 1.04880 -0.00098
 season 0.91384 0.00282 0.510 0.97755 0.00218
 season 0.66285 -0.00059 0.440 0.69106 -0.00101
 season 0.77364 0.00623 0.470 0.78367 0.00597
 season 0.90250 0.00818 0.598 0.99896 0.00807
 season 0.82308 0.00038 0.553 0.88015 -0.00150
 season 0.85980 -0.01111 0.499 0.85730 -0.01249
 season 0.50604 0.01314 0.340 0.47241 0.01355
 season 0.92802 0.00888 0.612 0.99885 0.00685
 season 0.73509 0.00758 0.519 0.75545 0.00723
 season 0.91217 -0.01226 0.611 0.91618 -0.01363
 season 1.13011 -0.00564 0.728 1.18486 -0.00578
 season 0.63062 0.00006 0.410 0.64402 -0.00015
 season 0.88695 -0.00175 0.545 0.93252 -0.00314
 season 0.86673 -0.00492 0.563 0.96710 -0.00741
 season 0.94711 -0.00768 0.582 0.98752 -0.00948
 season 1.12616 0.00212 0.657 1.22800 0.00071
 season 0.87003 0.00759 0.524 0.92941 0.00730
 season 0.93486 0.00979 0.625 1.05123 0.00814
 season 0.80979 0.00308 0.462 0.84427 0.00265
 season 0.85440 0.00557 0.552 0.85333 0.00572
 season 0.90331 -0.01708 0.578 0.98515 -0.01938
 season 1.17563 0.01199 0.764 1.19532 0.01475
