    Frequency     Corr coef   OLS regress  robust regress  OLS intercept  robust intercept
     deseason       -0.5437       -1.0912       -1.0333        0.0774        0.0668
     deseason       -0.6057       -1.3599       -1.2325        0.0114       -0.0001
     deseason       -0.4827       -0.9418       -0.8841       -0.0311       -0.0451
     deseason       -0.4808       -0.9704       -0.8471       -0.0209       -0.0375
     deseason       -0.4284       -0.8424       -0.7311        0.0269        0.0133
     deseason       -0.5695       -1.2259       -1.0598        0.0782        0.0617
     deseason       -0.6089       -1.1720       -1.1293        0.0020       -0.0175
     deseason       -0.5884       -1.0369       -0.9983       -0.0136       -0.0210
     deseason       -0.3857       -0.7816       -0.7299       -0.0064       -0.0103
     deseason       -0.5061       -1.1772       -1.0598        0.0451        0.0331
     deseason       -0.4944       -1.0279       -0.9490        0.0350        0.0354
     deseason       -0.4746       -0.9548       -0.9376       -0.0081       -0.0092
     deseason       -0.5400       -1.1099       -1.0151        0.0507        0.0425
     deseason       -0.5483       -1.1212       -1.0883        0.0063        0.0022
     deseason       -0.5463       -1.1284       -1.0769       -0.0513       -0.0482
     deseason       -0.3957       -0.8315       -0.7860       -0.0322       -0.0235
     deseason       -0.4891       -0.9644       -0.8813        0.0380        0.0256
     deseason       -0.4739       -0.9356       -0.8844       -0.0126       -0.0150
     deseason       -0.5024       -1.0102       -0.9632       -0.0588       -0.0613
     deseason       -0.4709       -0.9309       -0.9029        0.0244        0.0281
     deseason       -0.4852       -1.0601       -0.9970       -0.0122       -0.0159
     deseason       -0.5990       -1.1739       -1.1446       -0.0227       -0.0234
     deseason       -0.4800       -0.9577       -0.8413       -0.0392       -0.0531
     deseason       -0.5090       -1.1101       -1.0505        0.0325        0.0261
     deseason       -0.5768       -1.0943       -1.0862        0.0298        0.0429
     deseason       -0.5268       -1.0444       -1.0226       -0.0315       -0.0300
     deseason       -0.5746       -1.1385       -1.0778        0.0516        0.0441
     deseason       -0.5518       -1.1275       -1.0615       -0.0391       -0.0370
     deseason       -0.4848       -0.9680       -0.7932        0.0243        0.0183
     deseason       -0.5581       -1.0414       -0.9636       -0.0070       -0.0133
     deseason       -0.4641       -0.9267       -0.7837        0.0368        0.0275
     deseason       -0.4168       -0.7499       -0.7425       -0.0450       -0.0446
     deseason       -0.3414       -0.6491       -0.6123       -0.0236       -0.0218
     deseason       -0.5783       -1.3572       -1.1360        0.0801        0.0485
     deseason       -0.4728       -0.9579       -0.8642        0.0468        0.0326
     deseason       -0.5886       -1.0423       -1.0285       -0.0305       -0.0237
     deseason       -0.5833       -1.1219       -1.1067        0.0762        0.0727
     deseason       -0.5477       -1.0412       -0.9790        0.0386        0.0252
     deseason       -0.4591       -0.8909       -0.7430       -0.0032       -0.0131
     deseason       -0.5071       -1.1138       -0.9761       -0.0010       -0.0038
     deseason       -0.4428       -0.9376       -0.8892        0.0765        0.0773
     deseason       -0.5466       -1.3333       -1.1737        0.0279        0.0093
     deseason       -0.4796       -0.9428       -0.8723       -0.0444       -0.0535
     deseason       -0.5394       -1.0815       -0.9881        0.0316        0.0400
     deseason       -0.4796       -0.8657       -0.8110        0.0210        0.0099
     deseason       -0.4753       -0.9360       -0.8266        0.0275        0.0216
     deseason       -0.5031       -0.9474       -0.8355       -0.0281       -0.0297
     deseason       -0.5570       -1.0494       -0.9783        0.0709        0.0758
     deseason       -0.4979       -1.0679       -0.9071        0.0760        0.0585
     deseason       -0.3765       -0.8006       -0.7038        0.0000       -0.0092
     deseason       -0.5122       -1.1496       -1.0237       -0.0194       -0.0316
     deseason       -0.5108       -1.0406       -0.8932       -0.0465       -0.0373
     deseason       -0.4932       -0.9147       -0.8012        0.0375        0.0267
     deseason       -0.4967       -1.0161       -0.8297        0.0253        0.0080
     deseason       -0.5345       -1.1789       -1.0992       -0.0579       -0.0558
     deseason       -0.5417       -1.1272       -1.0839        0.0046        0.0017
     deseason       -0.5188       -1.0783       -1.0780        0.0235        0.0266
     deseason       -0.5211       -1.1397       -1.0429        0.0385        0.0311
     deseason       -0.4402       -0.8473       -0.8596       -0.0377       -0.0453
     deseason       -0.5317       -1.0936       -0.9534       -0.0220       -0.0418
     deseason       -0.5350       -1.1387       -1.0362        0.0216        0.0245
