    Frequency     Corr coef   OLS regress  robust regress  OLS intercept  robust intercept
        intra       -0.4421       -0.9464       -0.8960        0.0069        0.0018
        intra       -0.5185       -1.0637       -1.0437       -0.0278       -0.0324
        intra       -0.6025       -1.4516       -1.4523        0.0012       -0.0135
        intra       -0.6082       -1.3352       -1.3175       -0.0049       -0.0231
        intra       -0.6353       -1.4125       -1.4556       -0.0009       -0.0098
        intra       -0.6234       -1.3356       -1.3195        0.0215        0.0167
        intra       -0.6315       -1.3202       -1.3278        0.0043       -0.0031
        intra       -0.5377       -1.0172       -0.9761        0.0036        0.0085
        intra       -0.5858       -1.1496       -1.1220       -0.0286       -0.0191
        intra       -0.6334       -1.2444       -1.2050       -0.0051       -0.0142
        intra       -0.5965       -1.2734       -1.2380       -0.0274       -0.0296
        intra       -0.4987       -1.1283       -1.1224       -0.0153       -0.0282
        intra       -0.5788       -1.4613       -1.3522        0.0066        0.0006
        intra       -0.6418       -1.4165       -1.3700       -0.0055       -0.0101
        intra       -0.5854       -1.2080       -1.1536       -0.0170       -0.0263
        intra       -0.5786       -1.2867       -1.2229        0.0328        0.0252
        intra       -0.5834       -1.3329       -1.3815        0.0079       -0.0139
        intra       -0.6748       -1.4023       -1.3896       -0.0107       -0.0117
        intra       -0.4549       -1.0486       -0.9596        0.0225        0.0146
        intra       -0.5040       -1.1333       -1.0094        0.0165        0.0047
        intra       -0.5871       -1.2849       -1.2855       -0.0062       -0.0253
        intra       -0.6762       -1.5414       -1.4728       -0.0005       -0.0067
        intra       -0.5831       -1.2506       -1.2454        0.0169        0.0128
        intra       -0.6825       -1.4714       -1.4413       -0.0108       -0.0199
        intra       -0.5874       -1.4304       -1.3897        0.0051       -0.0117
        intra       -0.6187       -1.2120       -1.2102       -0.0076       -0.0118
        intra       -0.5530       -1.1339       -1.1400        0.0115       -0.0046
        intra       -0.5993       -1.2955       -1.2651       -0.0137       -0.0340
        intra       -0.5223       -1.3809       -1.2651        0.0204        0.0154
        intra       -0.5085       -1.1627       -1.0772       -0.0233       -0.0331
        intra       -0.5665       -1.1418       -1.0533       -0.0069       -0.0226
        intra       -0.5654       -1.1405       -1.1281       -0.0101       -0.0170
        intra       -0.6082       -1.2569       -1.2568        0.0249        0.0241
        intra       -0.5684       -1.1451       -1.1013        0.0068       -0.0027
        intra       -0.5698       -1.3259       -1.2649       -0.0349       -0.0407
        intra       -0.5380       -1.1850       -1.0994       -0.0212       -0.0308
        intra       -0.5532       -1.3073       -1.2907       -0.0095       -0.0251
        intra       -0.5970       -1.2670       -1.2438        0.0227        0.0071
        intra       -0.5729       -1.1924       -1.1370       -0.0039       -0.0103
        intra       -0.5748       -1.1650       -1.1475       -0.0061       -0.0159
        intra       -0.6065       -1.3325       -1.3752        0.0122       -0.0040
        intra       -0.6025       -1.1387       -1.1393        0.0088       -0.0016
        intra       -0.5158       -1.0866       -1.0568        0.0049       -0.0023
        intra       -0.6487       -1.4239       -1.4181        0.0043        0.0021
        intra       -0.5778       -1.1645       -1.2119       -0.0055       -0.0254
        intra       -0.5877       -1.2024       -1.1465       -0.0145       -0.0196
        intra       -0.5441       -1.0490       -1.0052        0.0056       -0.0042
        intra       -0.5878       -1.2388       -1.1555        0.0099       -0.0000
        intra       -0.5397       -1.1012       -1.0482        0.0172        0.0146
        intra       -0.4979       -1.1761       -1.1244        0.0104        0.0087
        intra       -0.5230       -1.0845       -1.0596       -0.0069       -0.0112
        intra       -0.5894       -1.3470       -1.2707        0.0112        0.0042
        intra       -0.6228       -1.4448       -1.3730        0.0162        0.0101
        intra       -0.5403       -1.0227       -0.9951       -0.0244       -0.0280
        intra       -0.4478       -1.0422       -0.9714        0.0089        0.0005
        intra       -0.5918       -1.1429       -1.1445        0.0025       -0.0054
        intra       -0.5955       -1.2165       -1.1859        0.0033       -0.0112
        intra       -0.5990       -1.3193       -1.2792        0.0015       -0.0029
        intra       -0.6140       -1.2493       -1.2603       -0.0046       -0.0108
        intra       -0.4988       -1.0816       -1.0514        0.0018       -0.0020
        intra       -0.5653       -1.2003       -1.1736       -0.0005        0.0004
        intra       -0.6739       -1.4650       -1.4449        0.0004        0.0004
        intra       -0.6068       -1.2571       -1.2181       -0.0076       -0.0195
        intra       -0.5149       -1.0770       -1.0134       -0.0247       -0.0266
        intra       -0.6136       -1.2280       -1.2111       -0.0316       -0.0407
        intra       -0.4151       -0.8320       -0.7454        0.0033       -0.0054
        intra       -0.4409       -1.0389       -0.9936        0.0495        0.0397
        intra       -0.5904       -1.2177       -1.2129       -0.0233       -0.0248
        intra       -0.5756       -1.1939       -1.1541       -0.0018       -0.0118
        intra       -0.4791       -1.0537       -0.9803       -0.0194       -0.0366
        intra       -0.5172       -1.1102       -1.1271       -0.0001       -0.0100
        intra       -0.5525       -1.0769       -1.0142       -0.0095       -0.0205
        intra       -0.6389       -1.3876       -1.3531        0.0081        0.0050
        intra       -0.6147       -1.2428       -1.1681        0.0132       -0.0003
        intra       -0.6046       -1.4769       -1.3975        0.0386        0.0281
        intra       -0.5319       -1.2668       -1.1906        0.0068        0.0008
