    Frequency     Corr coef   OLS regress  robust regress  OLS intercept  robust intercept
       season       -0.7527       -1.5393       -1.5287       -0.0007       -0.0023
       season       -0.7185       -1.4428       -1.4130        0.0053        0.0079
       season       -0.7379       -1.2154       -1.1882       -0.0341       -0.0340
       season       -0.6827       -1.3161       -1.2891        0.0214        0.0257
       season       -0.7472       -1.2074       -1.2055        0.0176        0.0200
       season       -0.6828       -1.2275       -1.1949       -0.0153       -0.0152
       season       -0.7775       -1.6317       -1.6261       -0.0135       -0.0128
       season       -0.6866       -1.1856       -1.1388        0.0009        0.0026
       season       -0.6712       -1.2538       -1.2289       -0.0233       -0.0243
       season       -0.6738       -1.3143       -1.2305       -0.0093       -0.0080
       season       -0.6843       -1.2223       -1.2259       -0.0080       -0.0088
       season       -0.7414       -1.3903       -1.3887        0.0076        0.0105
       season       -0.7165       -1.3072       -1.1856        0.0009        0.0082
       season       -0.7009       -1.2283       -1.2244        0.0013       -0.0005
       season       -0.7058       -1.4402       -1.4091        0.0052        0.0011
       season       -0.6731       -1.2180       -1.1881        0.0105        0.0080
       season       -0.6997       -1.2781       -1.2207        0.0070        0.0097
       season       -0.7480       -1.3522       -1.3620        0.0049        0.0051
       season       -0.7517       -1.2515       -1.2347        0.0064        0.0117
       season       -0.7072       -1.3638       -1.3484        0.0101        0.0079
       season       -0.6809       -1.4957       -1.4152        0.0058        0.0035
       season       -0.7078       -1.3561       -1.3382        0.0026        0.0049
       season       -0.6768       -1.3005       -1.2855        0.0012       -0.0010
       season       -0.7459       -1.5576       -1.4956       -0.0130       -0.0154
       season       -0.7295       -1.3765       -1.3258        0.0078        0.0098
       season       -0.6982       -1.3975       -1.3882        0.0069        0.0066
       season       -0.7194       -1.4833       -1.4778        0.0203        0.0215
       season       -0.7087       -1.4639       -1.4460       -0.0058       -0.0064
       season       -0.6836       -1.1972       -1.1697       -0.0040       -0.0044
       season       -0.7571       -1.7391       -1.7513        0.0086        0.0086
       season       -0.6561       -1.2289       -1.1691        0.0120        0.0119
       season       -0.7268       -1.4193       -1.3866        0.0024        0.0042
       season       -0.6911       -1.5291       -1.4812       -0.0089       -0.0101
