   Full 1.02371 0.00000 0.952 1.02380 0.00029
  intra 1.06512 0.00224 0.746 1.07093 0.00274
 season 0.94322 0.00205 0.586 0.99364 0.00112
  inter 1.02107 -0.00316 0.991 1.03839 -0.00648
